Name,Version,Notes,Type,InstallBoth,ZipContentToRun,UrlFor32Bit,UrlFor64Bit,IndirectUrlFor32Bit,IndirectUrlFor64Bit,HashFor32Bit,HashFor64Bit,ValidExitCodes,PreInstallMessage,PostInstallMessage,InstallerArguments,HeadersToAdd,AppPage
7zip,18.0.1.0,,exe,,,http://7-zip.org/a/7z1801.exe,http://7-zip.org/a/7z1801-x64.exe,,,,,,installing 7Zip: should probably kill explorer.exe now,"done installing 7Zip: can restart explorer.exe now, if necessary",/s,,http://www.7-zip.org/
AdobeDigitalEditions,4.5.7.0,,exe,,,https://adedownload.adobe.com/pub/adobe/digitaleditions/ADE_4.5_Installer.exe,,,,,,,,,,,http://www.adobe.com/solutions/ebook/digital-editions/download.html
AdobeReaderDC,2018.011.20035.0,ugh,exe,,,http://ardownload.adobe.com/pub/adobe/reader/win/AcrobatDC/1801120035/AcroRdrDC1801120035_en_US.exe,,,,,,,,,,,https://get.adobe.com/reader/otherversions/
AndroidStudio,3.0.1.0,,exe,,,,https://dl.google.com/dl/android/studio/install/3.0.1.0/android-studio-ide-171.4443003-windows.exe,,,,1f71333fc8f31281b643a12d7f9d4c22e75ee7c14dc1faf00ce3d5291ef40bb0,,,,,,https://developer.android.com/studio/index.html#downloads
Audacity,2.2.2.0,,exe,,,,,"https://www.fosshub.com/Audacity.html/audacity-win-2.2.2.exe
(?s).+<iframe width=""1"" height=""1"" frameborder=""0"" src=""([^""]+)""></iframe>.+
$1",,ca19471e10660765dec12c980ebd3eeb9b82826ea4f25bc490936f312b14caff,,,,,,,http://www.audacityteam.org/download/windows/
AudioShell,2.3.6.0,,exe,,,http://softpointer.com/downloads/AudioShell236.exe,,,,,,,installing AudioShell: should kill explorer now,done installing AudioShell: can restart explorer now,,,http://softpointer.com/AudioShell.htm
AutoHotkey,1.1.28.0,,exe,,,http://ahkscript.org/download/ahk-install.exe,,,,,,,"about to install AutoHotkey: if it's running already, you'll need to stop it",done installing AutoHotkey: can restart it now,,,https://autohotkey.com/download/
AzureStorageExplorer,0.9.6.0,http://storageexplorer.com/,exe,,,https://go.microsoft.com/fwlink/?LinkId=708343,,,,,,,,,,,https://docs.microsoft.com/en-us/azure/vs-azure-tools-storage-explorer-relnotes
BingDesktop,1.3.470.0,,exe,,,http://download.microsoft.com/download/0/7/8/078E99E2-F1AE-4F46-B3EE-8208B7D01E5C/BDT5/BingDesktopSetup.exe,,,,,,,,,,,
calibre,3.18.0.0,,msi,,,https://download.calibre-ebook.com/3.18.0/calibre-3.18.0.msi,https://download.calibre-ebook.com/3.18.0/calibre-64bit-3.18.0.msi,,,,,,,,"ADDLOCAL=MainApplication REMOVE=FSMS,DS,FAddToPath",,http://calibre-ebook.com/download_windows64
